Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_2_26,VGND,li1,17.9400,16.3200,0.000025
FILLER_2_15,VGND,li1,13.3400,16.3200,0.000025
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000025
FILLER_1_169,VGND,li1,84.6400,16.3200,0.000089
FILLER_1_164,VGND,li1,81.8800,16.3200,0.000089
FILLER_1_141,VGND,li1,70.8400,16.3200,0.000083
FILLER_1_106,VGND,li1,55.6600,16.3200,0.000073
FILLER_1_81,VGND,li1,43.2400,16.3200,0.000056
FILLER_1_57,VGND,li1,32.6600,16.3200,0.000037
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000034
FILLER_1_49,VGND,li1,29.4400,16.3200,0.000034
FILLER_1_15,VGND,li1,13.3400,16.3200,0.000025
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000025
FILLER_0_177,VGND,li1,87.1700,10.8800,0.000002
FILLER_0_169,VGND,li1,85.1000,10.8800,0.000002
FILLER_0_165,VGND,li1,82.1100,10.8800,0.000002
FILLER_0_156,VGND,li1,77.5100,10.8800,0.000002
FILLER_0_152,VGND,li1,76.3600,10.8800,0.000002
FILLER_0_145,VGND,li1,72.4500,10.8800,0.000002
FILLER_0_141,VGND,li1,71.3000,10.8800,0.000002
FILLER_0_134,VGND,li1,68.5400,10.8800,0.000002
FILLER_0_122,VGND,li1,64.4000,10.8800,0.000002
FILLER_0_113,VGND,li1,58.1900,10.8800,0.000002
FILLER_0_111,VGND,li1,56.8100,10.8800,0.000002
FILLER_0_105,VGND,li1,55.2000,10.8800,0.000002
FILLER_0_97,VGND,li1,51.0600,10.8800,0.000002
FILLER_0_85,VGND,li1,47.3800,10.8800,0.000002
FILLER_0_80,VGND,li1,43.2400,10.8800,0.000002
FILLER_0_73,VGND,li1,39.3300,10.8800,0.000002
FILLER_0_69,VGND,li1,38.1800,10.8800,0.000002
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000001
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000001
